subject_name,news_text,sentiment,impact_strength,mention_focus
Ozon,"По итогам всех сессий бумаги Ozon выросли на 14.92%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Торговые объемы на бирже были выше средних за последние три месяца. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Инвесторы позитивно отреагировали на инициативы по повышению",-0.73,0.14,0.96
Роснефть,"Роснефть упоминалась среди крупнейших компаний на фоне ожиданий по смягчению монетарной политики, однако внимание аналитиков было сосредоточено на других активах. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Публикация данных о дивидендах вызвала положительную реакцию на рынке.",0.39,0.15,0.34
Аэрофлот,Акции Аэрофлот оставались стабильными несмотря на волатильность на мировых рынках. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.,0.32,0.08,0.81
ПИК,"ПИК фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. На фоне геополитической неопределенности инвесторы проявляют осторожность. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. ПИК фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение",0.46,0.47,0.16
Норильский никель,"Норильский никель фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",-0.42,0.01,0.17
Русал,"По итогам всех сессий бумаги Русал выросли на 11.7%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. На фоне геополитической неопределенности инвесторы проявляют осторожность. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",0.43,0.51,0.68
М.Видео,На фоне публикации сильного отчета за 2022 год акции М.Видео показали рост на 6.64%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. На фоне публикаци,0.62,0.92,0.87
Аэрофлот,"По итогам всех сессий бумаги Аэрофлот выросли на 7.54%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Публикация данных о дивидендах вызвала положительную реакцию на рынке.",-0.96,0.35,0.99
ФосАгро,Новости о дивидендах способствовали росту акций ФосАгро на 0.52%. Торговые объемы на бирже были выше средних за последние три месяца. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.,-0.78,0.18,0.79
МегаФон,"Несмотря на сильную отчетность, акции МегаФон снизились на 9.85%, что связано с общим настроением на рынке. Отчетность компании превзошла консенсус-прогнозы аналитиков.",0.19,0.94,0.86
Газпром,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Газпром, потерявшие 8.58%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Индекс МосБиржи закрылся снижением на фоне",-0.69,0.81,0.92
СПБ Биржа,"Аналитики отмечают устойчивость СПБ Биржа на фоне волатильности индекса МосБиржи, бумаги изменились на 9.54%. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Отчетность компании превзошла консенсус-прогнозы аналитиков. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Публикация",-0.02,0.97,0.79
Магнит,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Магнит, акции которой потеряли 8.47%. На фоне геополитической неопределенности инвесторы проявляют осторожность. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-0.66,0.38,0.66
Транснефть,"Несмотря на сильную отчетность, акции Транснефть снизились на 5.86%, что связано с общим настроением на рынке. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Инвесторы позитивно",0.41,0.63,0.98
Транснефть,"Несмотря на сильную отчетность, акции Транснефть снизились на 3.51%, что связано с общим настроением на рынке. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Эксперты предупреждают о возможной фиксации прибыли инвесторами. На фоне геополитической неопределенности инвесторы проявляют осторожность.",-0.93,0.93,0.94
Лукойл,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Лукойл, потерявшие 9.38%. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",-0.47,0.17,0.66
М.Видео,"Аналитики отмечают устойчивость М.Видео на фоне волатильности индекса МосБиржи, бумаги изменились на 4.39%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",0.76,0.41,0.76
МегаФон,"Аналитики отмечают устойчивость МегаФон на фоне волатильности индекса МосБиржи, бумаги изменились на 0.93%. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Торговые объемы на бирже были выше средних за последние три месяца. Отчетность компании превзошла консенсус-прогнозы аналитиков. Падение цен на нефть продолжает оказывать давление на нефтян",-0.75,0.64,0.64
Сбербанк,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Сбербанк, акции которой потеряли 13.07%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Падение цен на нефть спровоцировало",-0.35,0.48,0.65
Газпром,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Газпром, акции которой потеряли 4.24%. На фоне геополитической неопределенности инвесторы проявляют осторожность. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Торговые объемы на бирже были выше средних за последние три месяца. Аналитики предполагают возможность дальнейшего роста акций в ближай",-0.84,0.26,0.91
Инарктика,"По итогам всех сессий бумаги Инарктика выросли на 2.47%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. На фоне геополитической неопределенности инвесторы проявляют осторожность. По итогам всех сессий бумаги Инарктика выросли на 2.47%, оказавшись в числе лидеров роста благодаря позитивным ожида",-0.95,0.36,0.89
ВТБ,"По итогам всех сессий бумаги ВТБ выросли на 9.25%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",0.85,0.11,0.65
Роснефть,"Несмотря на сильную отчетность, акции Роснефть снизились на 11.95%, что связано с общим настроением на рынке. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Торговые объемы на бирже были выше средних за последние три месяца. Отчетность компании превзошла консенсус-прогнозы аналитиков. Инвесторы п",0.57,0.38,0.74
Газпром,"Газпром фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Отчетность компании превзошла консенсус-прогнозы аналитиков. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Торговые объемы на бирже были выше средних за последние три месяца. На фоне геополитической неопределенности инвесторы проявляют осторожность.",0.44,0.45,0.14
Татнефть,Акции Татнефть оставались стабильными несмотря на волатильность на мировых рынках. Отчетность компании превзошла консенсус-прогнозы аналитиков. На фоне геополитической неопределенности инвесторы проявляют осторожность. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Торговые объемы на бирже были выше средних за последние три месяца. Торговые объемы на бирже были выше средних за,-0.05,0.33,0.62
Аэрофлот,"Аэрофлот фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Отчетность компании превзошла консенсус-прогнозы аналитиков. Публикация данных о дивидендах вызвала положительную реакцию на рынке.",-0.19,0.64,0.28
Газпром,"Новости о дивидендах способствовали росту акций Газпром на 5.16%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Эксперты предупреждают о возможной фиксации приб",0.53,0.93,0.66
Сегежа,Новости о дивидендах способствовали росту акций Сегежа на 0.53%. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Отчетность компании превзошла консенсус-прогнозы аналитиков. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Новости о,0.65,0.52,0.94
Яндекс,Акции Яндекс оставались стабильными несмотря на волатильность на мировых рынках. Отчетность компании превзошла консенсус-прогнозы аналитиков. Торговые объемы на бирже были выше средних за последние три месяца. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. На фоне геополитической неопределенности инвесторы проявляют осторожность.,0.59,0.73,0.98
Лента,"По итогам всех сессий бумаги Лента выросли на 1.77%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Публикация данных о дивидендах вызвала положительную реакцию на рынке.",0.38,0.06,0.62
Магнит,Новости о дивидендах способствовали росту акций Магнит на 0.66%. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Новости о дивидендах способствовали росту акций Магнит на,0.84,0.16,0.61
Газпром,"По итогам всех сессий бумаги Газпром выросли на 9.95%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Отчетность компании превзошла консенсус-прогнозы аналитиков. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",0.74,0.37,0.91
ФосАгро,"Аналитики отмечают устойчивость ФосАгро на фоне волатильности индекса МосБиржи, бумаги изменились на 11.65%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",0.18,0.79,0.69
Позитив,"Позитив упоминалась среди крупнейших компаний на фоне ожиданий по смягчению монетарной политики, однако внимание аналитиков было сосредоточено на других активах. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Позитив упоминалась среди крупнейших компаний на фоне ожидан",0.37,0.03,0.12
Лента,Акции Лента оставались стабильными несмотря на волатильность на мировых рынках. Публикация данных о дивидендах вызвала положительную реакцию на рынке.,-0.05,0.12,0.89
Газпром,"Несмотря на сильную отчетность, акции Газпром снизились на 9.83%, что связано с общим настроением на рынке. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-0.74,0.33,0.82
Норильский никель,"По итогам всех сессий бумаги Норильский никель выросли на 6.59%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Эксперты предупреждают о возможной фиксации прибыли инвесторами. На фоне геополитической неопределенности инвесторы проявляют осторожность.",-0.58,0.09,0.69
МегаФон,"Аналитики отмечают устойчивость МегаФон на фоне волатильности индекса МосБиржи, бумаги изменились на 5.82%. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Торговые объемы на бирже были выше средних за последние три месяца.",0.81,0.33,0.88
Аэрофлот,"Несмотря на сильную отчетность, акции Аэрофлот снизились на 12.36%, что связано с общим настроением на рынке. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Отчетность компании превзошла консенсус-прогнозы аналитиков. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",0.85,0.32,0.71
Сбербанк,На фоне публикации сильного отчета за 2023 год акции Сбербанк показали рост на 8.4%. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Торговые объемы на бирже были выше средних за последние три месяца. Падение цен на нефт,-0.52,0.55,0.97
Полюс,"Новости о дивидендах способствовали росту акций Полюс на 0.87%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Несмотря на позити",0.96,0.68,0.87
ЦИАН,"Новости о дивидендах способствовали росту акций ЦИАН на 4.09%. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Торговые объемы на бирже были выше средних за последние три месяца. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",-0.52,0.53,0.62
М.Видео,"По итогам всех сессий бумаги М.Видео выросли на 9.46%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. На фоне геополитической неопределенности инвесторы проявляют осторожность. По итогам всех сессий бумаги М.Видео выросли на 9.46%, оказавшись в числе лидеров роста благодаря позитивным ожидан",0.84,0.39,0.95
АЛРОСА,"По итогам всех сессий бумаги АЛРОСА выросли на 11.36%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Торговые объемы на бирже были выше средних за последние три месяца. Отчетность компании превзошла консенсус-прогнозы аналитиков.",0.98,0.71,0.79
Транснефть,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Транснефть, акции которой потеряли 14.79%. Торговые объемы на бирже были выше средних за последние три месяца.",-0.91,0.4,0.82
Яндекс,"Несмотря на сильную отчетность, акции Яндекс снизились на 5.94%, что связано с общим настроением на рынке. Отчетность компании превзошла консенсус-прогнозы аналитиков. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Несмотря на сильную отчетность, акции Яндекс снизились на 5.94%, что связано с о",-0.91,0.94,0.95
Магнит,"Несмотря на сильную отчетность, акции Магнит снизились на 13.64%, что связано с общим настроением на рынке. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса.",0.81,0.6,0.62
Хэдхантер,"Аналитики отмечают устойчивость Хэдхантер на фоне волатильности индекса МосБиржи, бумаги изменились на 2.87%. На фоне геополитической неопределенности инвесторы проявляют осторожность. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",-0.11,0.22,0.86
М.Видео,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая М.Видео, акции которой потеряли 10.86%. На фоне геополитической неопределенности инвесторы проявляют осторожность. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. На фоне геополитической неопр",-0.37,0.31,0.85
Хэдхантер,"Хэдхантер фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Отчетность компании превзошла консенсус-прогнозы аналитиков. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-0.71,0.9,0.16
ВТБ,На фоне публикации сильного отчета за 2024 год акции ВТБ показали рост на 9.64%. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Отчетность компании превзошла консенсус-прогнозы аналитиков.,-0.49,0.93,0.78
АЛРОСА,"АЛРОСА фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Торговые объемы на бирже были выше средних за последние три месяца.",0.05,0.33,0.22
АЛРОСА,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая АЛРОСА, акции которой потеряли 9.96%. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",-0.99,0.83,0.99
ВУШ,"По итогам всех сессий бумаги ВУШ выросли на 3.78%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Торговые объемы на бирже были выше средних за последние три месяца. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",0.86,0.3,0.88
ЦИАН,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции ЦИАН, потерявшие 3.21%. На фоне геополитической неопределенности инвесторы проявляют осторожность.",-0.6,0.16,0.74
Ozon,"Акции Ozon оставались стабильными несмотря на волатильность на мировых рынках. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Торговые объемы на бирже были выше средних за последние три месяца. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизн",-0.93,0.59,0.83
Ozon,"Ozon фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",0.98,0.65,0.31
Полюс,"По итогам всех сессий бумаги Полюс выросли на 0.93%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Торговые объемы на бирже были выше средних за последние три",0.44,0.46,0.87
Магнит,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Магнит, акции которой потеряли 11.1%. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-0.67,0.43,0.72
Хэдхантер,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Хэдхантер, акции которой потеряли 3.9%. Торговые объемы на бирже были выше средних за последние три месяца. Отчетность компании превзошла консенсус-прогнозы аналитиков.",-0.54,0.8,0.87
Яндекс,"По итогам всех сессий бумаги Яндекс выросли на 14.77%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Отчетность компании превзошла консенсус-прогнозы аналитиков. Отчетность компании превзошла консенсус-прогнозы аналитиков.",0.75,0.36,0.87
Аэрофлот,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Аэрофлот, потерявшие 0.93%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",-0.73,0.55,0.97
Лента,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Лента, потерявшие 13.79%. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Отчетность компании превзошла консенсус-прогнозы аналитиков. Отчетность компании превзошла консенсус-прогнозы аналитиков.",-0.66,0.48,0.86
Роснефть,"Роснефть фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Торговые объемы на бирже были выше средних за последние три месяца. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Отчетность комп",0.16,0.87,0.22
ПИК,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая ПИК, акции которой потеряли 12.44%. Торговые объемы на бирже были выше средних за последние три месяца. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",-0.72,0.78,0.65
Транснефть,"Транснефть упоминалась среди крупнейших компаний на фоне ожиданий по смягчению монетарной политики, однако внимание аналитиков было сосредоточено на других активах. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",0.49,0.22,0.3
М.Видео,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая М.Видео, акции которой потеряли 2.86%. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Отчетность компании превзошла консенсус-прогнозы аналитиков. На фоне геополитической неопределенности инвесторы проявляют осторожность. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-0.5,0.9,0.98
Делимобиль,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Делимобиль, потерявшие 7.91%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Торговые объемы на бирже были выше средних за последние три месяца.",-0.4,0.21,0.88
МегаФон,"По итогам всех сессий бумаги МегаФон выросли на 11.23%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. На фоне геополитической неопределенности инвесторы проявляют осторожность.",-0.49,0.71,0.78
Татнефть,"Несмотря на сильную отчетность, акции Татнефть снизились на 9.07%, что связано с общим настроением на рынке. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",0.42,0.89,0.67
ИКС 5,"По итогам всех сессий бумаги ИКС 5 выросли на 1.6%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Отчетность компании превзошла консенсус-прогнозы аналитиков.",0.69,0.36,0.95
Новатэк,"По итогам всех сессий бумаги Новатэк выросли на 5.24%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Торговые объемы на бирже были выше средних за последние три месяца.",0.98,0.9,0.7
Делимобиль,Акции Делимобиль оставались стабильными несмотря на волатильность на мировых рынках. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Торговые объемы на бирже были выше средних за последние три месяца.,0.66,0.24,0.92
МегаФон,"МегаФон фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Торговые объемы на бирже были выше средних за последние три месяца. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Торговые",0.77,0.12,0.11
